post_id,fetched_at,breed,pattern_name,with_image,views,likes,replies,reposts,quotes
17890663707495431,2026-05-17T16:00:27.712459+00:00,chihuahua,,True,6,0,0,0,0
18136995982476982,2026-05-18T16:00:37.270692+00:00,schnauzer,,,2466,8,10,0,0
17917500087166870,2026-05-18T16:00:37.270692+00:00,chihuahua,,,7,0,1,0,0
17992986347959687,2026-05-18T16:00:37.270692+00:00,shiba,,,1053,11,0,0,0
18091414241593614,2026-05-18T16:00:37.270692+00:00,shiba,,True,191,1,1,0,0
18195928786321537,2026-05-18T16:00:37.270692+00:00,shiba,,True,819,2,0,0,0
17965107639080497,2026-05-18T16:00:37.270692+00:00,shiba,,True,694,2,0,0,0
18096317570138166,2026-05-18T16:00:37.270692+00:00,shiba,,True,85,1,1,0,0
17949558345168553,2026-05-18T16:00:37.270692+00:00,shiba,,True,92,2,1,0,0
17950399647176309,2026-05-18T16:00:37.270692+00:00,shiba,,True,114,1,1,0,0
18103786837791234,2026-05-18T16:00:37.270692+00:00,shiba,,True,377,1,0,0,0
18116558551704140,2026-05-18T16:00:37.270692+00:00,shiba,,True,52,2,1,0,0
17999190236761226,2026-05-18T16:00:37.270692+00:00,shiba,,True,62,1,1,0,0
17886913890540574,2026-05-18T16:00:37.270692+00:00,shiba,,True,43,0,1,0,0
17924162442340402,2026-05-18T16:00:37.270692+00:00,shiba,,True,139,0,1,0,0
17937867003217252,2026-05-18T16:00:37.270692+00:00,shiba,,True,48,0,1,0,0
18078452315545820,2026-05-18T16:00:37.270692+00:00,shiba,,True,100,0,1,0,0
18100435259087156,2026-05-18T16:00:37.270692+00:00,shiba,,True,809,7,0,0,0
18106497379938402,2026-05-18T16:00:37.270692+00:00,shiba,,True,357,2,1,0,0
17880368091581811,2026-05-18T16:00:37.270692+00:00,shiba,,True,1421,28,0,0,0
18361730890234307,2026-05-18T16:00:37.270692+00:00,shiba,,True,122,0,1,0,0
18116131102773865,2026-05-18T16:00:37.270692+00:00,shiba,,True,51,0,1,0,0
17987783025003967,2026-05-18T16:00:37.270692+00:00,shiba,,True,178,3,1,0,0
17894323614334456,2026-05-18T16:00:37.270692+00:00,shiba,,True,99,0,1,0,0
18451027096112009,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,169,1,1,0,0
18047079593777886,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,139,0,1,0,0
18117246022674158,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,85,1,1,0,0
18114443632674525,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,184,0,1,0,0
18115614073701352,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,160,0,1,0,0
18419849317179630,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,3340,32,0,0,0
18109709123498671,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,563,5,1,0,0
18021294173666125,2026-05-18T16:00:37.270692+00:00,schnauzer,,True,385,0,1,0,0
18087391586168764,2026-05-18T16:00:37.270692+00:00,cavalier,,True,174,1,1,0,0
18066127145498397,2026-05-18T16:00:37.270692+00:00,cavalier,,True,223,3,1,0,0
17951831156984964,2026-05-18T16:00:37.270692+00:00,cavalier,,True,175,1,1,0,0
18232929538308966,2026-05-18T16:00:37.270692+00:00,cavalier,,True,213,1,1,0,0
18081467180139816,2026-05-18T16:00:37.270692+00:00,cavalier,,True,257,2,1,0,0
18372524605200069,2026-05-18T16:00:37.270692+00:00,cavalier,,True,778,5,0,0,0
18040325729590683,2026-05-18T16:00:37.270692+00:00,cavalier,,True,3136,43,0,0,0
18076304762243602,2026-05-18T16:00:37.270692+00:00,cavalier,,True,1843,73,0,0,0
18130214047583587,2026-05-18T16:00:37.270692+00:00,cavalier,,True,279,4,1,0,0
17919094587360755,2026-05-18T16:00:37.270692+00:00,cavalier,,True,195,3,1,0,0
18201740863354515,2026-05-18T16:00:37.270692+00:00,cavalier,,True,179,1,1,0,0
18053535191740695,2026-05-18T16:00:37.270692+00:00,cavalier,,True,692,5,0,0,0
18198231193363230,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,168,0,1,0,0
17883458586412955,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,126,0,1,0,0
18009038717713043,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,220,3,1,0,0
18129516817581903,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,83,0,1,0,0
17928180204278406,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,300,0,0,0,0
17945063040016452,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,72,1,5,0,0
17933632518072127,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,632,0,0,0,0
18078337157553263,2026-05-18T16:00:37.270692+00:00,toypoodle,,True,43,0,1,0,0
18079891214543254,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,7,0,1,0,0
18206969350341088,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,5,0,1,0,0
17979400065009229,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,4,0,0,0,0
17909063145224505,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,4,0,1,0,0
17889310911486801,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,3,0,0,0,0
17952976935134715,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,51,0,0,0,0
18120809116639776,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,25,0,0,0,0
17974897023045784,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,139,0,0,0,0
17945888478191227,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,4,0,1,0,0
18029905394805835,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,3,0,1,0,0
17999402465760983,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,1,0,1,0,0
17925872943318569,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,2,0,1,0,0
18351826393215312,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,2,0,1,0,0
18390245170094613,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,3,0,1,0,0
17943432117190061,2026-05-18T16:00:37.270692+00:00,chihuahua,,True,7,0,1,0,0
